fid,Region,Departemen,Commune,Designatio,No_IRH,Long,Lat,Entreprise,Type_Ouvra,Date_Recep,Aquifere,Prof__Tota,X_dd,Y_dd,ProfTOt
404,DIOURBEL,DIOURBEL,Gade Escale,LAPPE I,11-2X-0137,"-16°20'16""","15°00'07""",,Puits moderne,,Eocene,32.45,-16.3377777778,15.0019444444,32.45
405,DIOURBEL,DIOURBEL,Gade Escale,LAPPE II,11-2X-0076,"-16°20'06""","14°59'46""",WVI,Forage,1995/06/03,Eocene,47.6,-16.335,14.9961111111,47.6
406,DIOURBEL,DIOURBEL,Gade Escale,MERINA DIENG,11-2X-0132,"-16°20'24""","14°54'44""",,Puits moderne,,Eocene,50.6,-16.34,14.9122222222,50.6
407,DIOURBEL,DIOURBEL,Gade Escale,MOUSLADJI II,11-3X-0391,"-16°18'12""","14°57'53""",,Puits moderne,,Eocene,36.76,-16.3033333333,14.9647222222,36.76
408,DIOURBEL,DIOURBEL,Gade Escale,NDIANE I,"05-8X-0051","-16°22'03""","15°00'35""",INTRAFOR,Forage,1983/06/30,Eocene,46.6,-16.3675,15.0097222222,46.6
409,DIOURBEL,DIOURBEL,Gade Escale,NDIANE II,11-2X-0026,"-16°22'18""","15°00'32""",INTRAFOR,Forage,1983/06/14,Eocene,46.6,-16.3716666667,15.0088888889,46.6
410,DIOURBEL,DIOURBEL,Gade Escale,NDIOMPI  2,11-3X-0376,"-16°19'46""","14°57'40""",,Puits moderne,,Eocene,35,-16.3294444444,14.9611111111,35
411,DIOURBEL,DIOURBEL,Gade Escale,NDOUCOUMANE NDIENG,11-3X-0040,"-16°18'05""","14°59'26""",WVI,Forage,1995/06/01,Eocene,53,-16.3013888889,14.9905555556,53
412,DIOURBEL,DIOURBEL,Gade Escale,NDOUGOUBENE,11-2X-0040,"-16°20'09""","14°55'49""",SOBEA,Forage,1986/08/20,Maastrichtien,381,-16.3358333333,14.9302777778,381
413,DIOURBEL,DIOURBEL,Gade Escale,THIAKHAMI TOURE,11-2X-0064,"-16°21'40""","14°57'49""",WVI,Forage,1995/03/22,Eocene,48.5,-16.3611111111,14.9636111111,48.5
414,DIOURBEL,DIOURBEL,Keur Ngalgou,KANENE MBAP,11-3X-0015,"-16°17'20""","14°54'00""",CDE,Puits moderne,,Eocene,72.7,-16.2888888889,14.9,72.7
415,DIOURBEL,DIOURBEL,Keur Ngalgou,KEUR NGALGOU,11-3X-0036,"-16°18'24""","14°52'28""",TECNOSOL,Forage,1992/08/22,Maastrichtien,404,-16.3066666667,14.8744444444,404
416,DIOURBEL,DIOURBEL,Keur Ngalgou,KHAPSOU SYLL,11-3X-0414,"-16°17'13""","14°55'30""",,Puits moderne,,Eocene,44.5,-16.2869444444,14.925,44.5
417,DIOURBEL,DIOURBEL,Keur Ngalgou,PEO FALL,11-3X-0415,"-16°17'38""","14°55'36""",,Puits moderne,,Eocene,48.41,-16.2938888889,14.9266666667,48.41
418,DIOURBEL,DIOURBEL,Keur Ngalgou,SOUN,11-3X-0372,"-16°17'38""","14°55'36""",,Puits moderne,,Eocene,47.63,-16.2938888889,14.9266666667,47.63
419,DIOURBEL,DIOURBEL,Ndankh-Sene,DAGA,11-3X-0002,"-16°06'20""","14°54'40""",SASIF,Puits-forage,1957/04/18,Paleocene,226,-16.1055555556,14.9111111111,226
420,DIOURBEL,DIOURBEL,Ndankh-Sene,DAKH SENE II,11-3X-0272,"-16°08'30""","14°50'26""",,Puits moderne,,Eocene,44.02,-16.1416666667,14.8405555556,44.02
421,DIOURBEL,DIOURBEL,Ndankh-Sene,DANKH SENE I,11-3X-0001,"-16°08'30""","14°50'25""",SASIF,Forage,1960/07/15,Continental terminal,221.5,-16.1416666667,14.8402777778,221.5
422,DIOURBEL,DIOURBEL,Ndankh-Sene,GALLE,11-3X-0263,"-16°08'32""","14°51'51""",,Puits moderne,,Eocene,40.82,-16.1422222222,14.8641666667,40.82
423,DIOURBEL,DIOURBEL,Ndankh-Sene,MBAPPE,11-3X-0018,"-16°06'53""","14°55'52""",SASIF,Forage-puits,1984/06/13,Maastrichtien,320,-16.1147222222,14.9311111111,320
424,DIOURBEL,DIOURBEL,Ndankh-Sene,MBATY,11-3X-0170,"-16°08'12""","14°48'14""",,Puits,,Eocene,50.87,-16.1366666667,14.8038888889,50.87
425,DIOURBEL,DIOURBEL,Ndankh-Sene,NDANKH SENE I,11-3X-0026,"-16°08'08""","14°50'03""",SOBEA,Forage,1986/11/05,Maastrichtien,384.1,-16.1355555556,14.8341666667,384.1
426,DIOURBEL,DIOURBEL,Ndankh-Sene,NDIOGOP DIOP,11-3X-0155,"-16°09'07""","14°48'26""",SECOM AF / SAFORT,Forage,2005/02/08,Eocene,70,-16.1519444444,14.8072222222,70
427,DIOURBEL,DIOURBEL,Ndankh-Sene,TAMAKA,11-3X-0011,"-16°08'37""","14°54'36""",SONAFOR,Forage,1976/05/31,Maastrichtien,374,-16.1436111111,14.91,374
428,DIOURBEL,DIOURBEL,Ndindy,ESCALE,11-3X-0320,"-16°12'04""","14°53'46""",,Puits moderne,,Eocene,41.76,-16.2011111111,14.8961111111,41.76
429,DIOURBEL,DIOURBEL,Ndindy,KEUR AWA LOUMENE,11-3X-0312,"-16°12'08""","14°49'27""",,Puits moderne,,Eocene,43.02,-16.2022222222,14.8241666667,43.02
430,DIOURBEL,DIOURBEL,Ndindy,KEUR MOUSSEU,11-3X-0286,"-16°13'25""","14°53'26""",,Puits moderne,,Eocene,60.04,-16.2236111111,14.8905555556,60.04
431,DIOURBEL,DIOURBEL,Ndindy,MERINA SYLL,11-3X-0321,"-16°15'09""","14°53'47""",,Puits moderne,,Eocene,52.58,-16.2525,14.8963888889,52.58
432,DIOURBEL,DIOURBEL,Ndindy,NDINDY,11-3X-0008,"-16°12'22""","14°53'49""",HYDRAF,Forage,1967/06/30,Maastrichtien,348.85,-16.2061111111,14.8969444444,348.85
433,DIOURBEL,DIOURBEL,Ndindy,TALLAKH,11-3X-0010,"-16°09'00""","14°55'30""",SASIF,Puits-forage,1960/05/07,Paleocene,104,-16.15,14.925,104
434,DIOURBEL,DIOURBEL,Ndoulo,DIOLLO,11-3X-0181,"-16°08'33""","14°44'07""",,Puits,,Quaternaire,27.45,-16.1425,14.7352777778,27.45
435,DIOURBEL,DIOURBEL,Ndoulo,MBAMPANA,11-3X-0131,"-16°08'39""","14°45'40""",,Puits,,Eocene,49.45,-16.1441666667,14.7611111111,49.45
436,DIOURBEL,DIOURBEL,Ndoulo,MBEYE,11-3X-0035,"-16°08'02""","14°45'37""",HCIS,Forage,2013/02/01,Maastrichtien,310,-16.1338888889,14.7602777778,310
437,DIOURBEL,DIOURBEL,Ndoulo,NDIENGHENE SAGAR,11-3X-0180,"-16°08'51""","14°44'27""",,Puits,,Quaternaire,32.07,-16.1475,14.7408333333,32.07
438,DIOURBEL,DIOURBEL,Ndoulo,NDIENGHENE THIOUTHIE,11-3X-0178,"-16°08'54""","14°45'32""",,Puits,,Eocene,53.8,-16.1483333333,14.7588888889,53.8
439,DIOURBEL,DIOURBEL,Ndoulo,NDOULO,11-3X-0009,"-16°06'55""","14°44'15""",HENAN-CHINE- CHINE,Forage,1978/01/01,Maastrichtien,323,-16.1152777778,14.7375,323
440,DIOURBEL,DIOURBEL,Ndoulo,TAWA MBAYARD,11-3X-0043,"-16°09'00""","14°47'30""",CDE,Puits moderne,,Eocene,67.6,-16.15,14.7916666667,67.6
441,DIOURBEL,DIOURBEL,Ndoulo,TOURE NDOULO,11-3X-0184,"-16°07'21""","14°43'42""",,Puits,,Quaternaire,30.3,-16.1225,14.7283333333,30.3
442,DIOURBEL,DIOURBEL,Ngohe,BOUNDOU,11-6X-0127,"-16°15'56""","14°36'16""",,Puits moderne,,Quaternaire,23.98,-16.2655555556,14.6044444444,23.98
443,DIOURBEL,DIOURBEL,Ngohe,DIAMSSELY,11-6X-0135,"-16°14'30""","14°36'03""",,Puits moderne,,Quaternaire,17.08,-16.2416666667,14.6008333333,17.08
444,DIOURBEL,DIOURBEL,Ngohe,DIOURBEL,11-6X-0001,"-16°13'48""","14°38'53""",HYDRAF,Forage,1951/03/21,Maastrichtien,306,-16.23,14.6480555556,306
445,DIOURBEL,DIOURBEL,Ngohe,DIOURBEL,11-6X-0002,"-16°14'00""","14°39'00""",SASIF,Forage,1966/10/27,Paleocene,96.55,-16.2333333333,14.65,96.55
446,DIOURBEL,DIOURBEL,Ngohe,DIOURBEL,11-6X-0003,"-16°14'20""","14°38'34""",SASIF,Forage,1967/01/14,Paleocene,207.05,-16.2388888889,14.6427777778,207.05
447,DIOURBEL,DIOURBEL,Ngohe,DIOURBEL,11-6X-0004,"-16°13'45""","14°39'00""",SASIF,Forage,1953/02/21,Paleocene,79.6,-16.2291666667,14.65,79.6
448,DIOURBEL,DIOURBEL,Ngohe,DIOURBEL,11-6X-0006,"-16°13'45""","14°39'00""",SONAFOR,Forage,1980/10/09,Eocene,60,-16.2291666667,14.65,60
449,DIOURBEL,DIOURBEL,Ngohe,DIOURBEL,11-6X-0020,"-16°15'15""","14°39'20""",SONAFOR,Forage,,Paleocene,71.5,-16.2541666667,14.6555555556,71.5
450,DIOURBEL,DIOURBEL,Ngohe,DJISS,11-6X-0141,"-16°19'47""","14°36'54""",,Puits moderne,,Quaternaire,28.4,-16.3297222222,14.615,28.4
451,DIOURBEL,DIOURBEL,Ngohe,KALYR,11-6X-0139,"-16°19'10""","14°39'17""",,Puits moderne,,Quaternaire,24.68,-16.3194444444,14.6547222222,24.68
452,DIOURBEL,DIOURBEL,Ngohe,KEUR GANE,11-6X-0008,"-16°20'48""","14°35'31""",INTRAFOR,Forage-puits,,Eocene,80,-16.3466666667,14.5919444444,80
453,DIOURBEL,DIOURBEL,Ngohe,KHAYAGUE 1,11-5X-0179,"-16°20'33""","14°37'18""",,Puits moderne,,Eocene,34.6,-16.3425,14.6216666667,34.6
454,DIOURBEL,DIOURBEL,Ngohe,KHAYAGUE 1,11-5X-0180,"-16°20'50""","14°37'25""",,Puits moderne,,Quaternaire,27.91,-16.3472222222,14.6236111111,27.91
455,DIOURBEL,DIOURBEL,Ngohe,NDIAMBOUR,11-5X-0220,"-16°20'22""","14°34'46""",,Puits moderne,,Quaternaire,22.65,-16.3394444444,14.5794444444,22.65
456,DIOURBEL,DIOURBEL,Ngohe,NDOFFENE,11-6X-0150,"-16°17'10""","14°38'01""",,Puits moderne,,Quaternaire,26.98,-16.2861111111,14.6336111111,26.98
457,DIOURBEL,DIOURBEL,Ngohe,NDOFFENE 1,11-6X-0151,"-16°16'45""","14°38'02""",,Puits moderne,,Quaternaire,22.5,-16.2791666667,14.6338888889,22.5
458,DIOURBEL,DIOURBEL,Ngohe,NGOHE,11-6X-0032,"-16°17'21""","14°38'08""",SOBEA,Forage,1987/01/16,Maastrichtien,321.41,-16.2891666667,14.6355555556,321.41
459,DIOURBEL,DIOURBEL,Ngohe,THIOLOM,11-6X-0132,"-16°15'05""","14°35'28""",,Puits moderne,,Quaternaire,16.92,-16.2513888889,14.5911111111,16.92
460,DIOURBEL,DIOURBEL,Ngohe,TOCK NGOL,11-6X-0007,"-16°19'30""","14°37'25""",INTRAFOR,Sondage,,Eocene,80,-16.325,14.6236111111,80
461,DIOURBEL,DIOURBEL,Patar,DAROU SAMBE,11-3X-0133,"-16°10'02""","14°41'50""",,Puits,,Quaternaire,35.63,-16.1672222222,14.6972222222,35.63
462,DIOURBEL,DIOURBEL,Patar,DIAKAEL DIGUE,11-6X-0084,"-16°09'34""","14°40'06""",,Puits,,Eocene,46.06,-16.1594444444,14.6683333333,46.06
463,DIOURBEL,DIOURBEL,Patar,DIOURBEL,11-6X-0037,"-16°13'30""","14°39'45""",SASIF,Forage,1986/08/05,Maastrichtien,317,-16.225,14.6625,317
464,DIOURBEL,DIOURBEL,Patar,KHOUBE,11-3X-0113,"-16°07'30""","14°42'30""",SEHI SENEGAL,Forage,2004/03/23,Eocene,80.5,-16.125,14.7083333333,80.5
465,DIOURBEL,DIOURBEL,Patar,PATAR,11-3X-0027,"-16°09'03""","14°42'04""",SOBEA,Forage,1986/04/12,Maastrichtien,285.35,-16.1508333333,14.7011111111,285.35
466,DIOURBEL,DIOURBEL,Patar,SOSSOS,11-6X-0082,"-16°07'13""","14°38'48""",,Puits,,Eocene,66.5,-16.1202777778,14.6466666667,66.5
467,DIOURBEL,DIOURBEL,Patar,THIOBE OUOLOF,11-6X-0031,"-16°04'31""","14°38'52""",SOBEA,Forage,1987/02/02,Maastrichtien,359.3,-16.0752777778,14.6477777778,359.3
468,DIOURBEL,DIOURBEL,Taiba Moutoupha,GNINGUENE SALAO,11-3X-0369,"-16°14'59""","14°48'31""",,Puits moderne,,Eocene,36.19,-16.2497222222,14.8086111111,36.19
469,DIOURBEL,DIOURBEL,Taiba Moutoupha,GOUYE NDIAYE,11-3X-0330,"-16°16'37""","14°46'06""",,Puits moderne,,Quaternaire,25.68,-16.2769444444,14.7683333333,25.68
470,DIOURBEL,DIOURBEL,Taiba Moutoupha,KEUR DAME KANE,11-3X-0338,"-16°13'41""","14°46'19""",,Puits moderne,,Eocene,30.84,-16.2280555556,14.7719444444,30.84
471,DIOURBEL,DIOURBEL,Taiba Moutoupha,KOURE,11-3X-0038,"-16°19'20""","14°45'40""",CDE,Puits moderne,1998/07/30,Eocene,35.05,-16.3222222222,14.7611111111,35.05
472,DIOURBEL,DIOURBEL,Taiba Moutoupha,TAIBA MOUTOUPHA,11-3X-0031,"-16°18'00""","14°47'08""",SOBEA,Forage,1986/12/14,Maastrichtien,450,-16.3,14.7855555556,450
473,DIOURBEL,DIOURBEL,Taiba Moutoupha,THIALLY,11-3X-0334,"-16°15'01""","14°45'46""",,Puits moderne,,Eocene,35.78,-16.2502777778,14.7627777778,35.78
474,DIOURBEL,DIOURBEL,Taiba Moutoupha,THIALY,11-3X-0037,"-16°15'10""","14°45'49""",TECNOSOL,Forage,1992/10/30,Maastrichtien,308,-16.2527777778,14.7636111111,308
475,DIOURBEL,DIOURBEL,Taiba Moutoupha,YAMAL,11-2X-0113,"-16°18'00""","14°46'40""",SEHI-SENEGAL,Forage,2003/01/03,Maastrichtien,325,-16.3,14.7777777778,325
476,DIOURBEL,DIOURBEL,Tocky Gare,KEBE SERERE,11-6X-0116,"-16°11'31""","14°36'41""",,Puits,,Eocene,48.26,-16.1919444444,14.6113888889,48.26
477,DIOURBEL,DIOURBEL,Tocky Gare,KEUR AMADOU DIOP,11-6X-0087,"-16°09'38""","14°34'06""",,Puits,,Quaternaire,24.11,-16.1605555556,14.5683333333,24.11
478,DIOURBEL,DIOURBEL,Tocky Gare,MBOKI NDIR,11-6X-0045,"-16°05'30""","14°36'00""",CDE,Puits moderne,,Eocene,63.85,-16.0916666667,14.6,63.85
479,DIOURBEL,DIOURBEL,Tocky Gare,NEBE,11-6X-0053,"-16°11'30""","14°37'00""",CDE,Puits moderne,,Eocene,58.3,-16.1916666667,14.6166666667,58.3
480,DIOURBEL,DIOURBEL,Tocky Gare,NEBE TEUGH,11-6X-0018,"-16°11'35""","14°36'40""",FORENCO,Sondage,1959/11/30,,4.15,-16.1930555556,14.6111111111,4.15
481,DIOURBEL,DIOURBEL,Tocky Gare,TENEFOUL,11-6X-0048,"-16°11'45""","14°34'45""",CDE,Puits moderne,1998/07/28,Eocene,28.55,-16.1958333333,14.5791666667,28.55
482,DIOURBEL,DIOURBEL,Tocky Gare,TOCKI GARE,11-6X-0041,"-16°10'00""","14°35'30""",TECNOSOL,Forage,1992/10/13,Maastrichtien,334,-16.1666666667,14.5916666667,334
483,DIOURBEL,DIOURBEL,Tocky Gare,TOCKY GARE,11-6X-0011,"-16°09'00""","14°35'30""",SASIF,Puits-forage,1960/05/06,Paleocene,168.25,-16.15,14.5916666667,168.25
484,DIOURBEL,DIOURBEL,Tocky Gare,WALALANE,11-6X-0268,"-16°04'47""","14°33'16""",SASIF,Forage,2007/08/19,Maastrichtien,307,-16.0797222222,14.5544444444,307
485,DIOURBEL,DIOURBEL,Tocky Gare,WALALANE,11-6X-0271,"-16°04'30""","14°33'13""",SVTP GC SEHI/SENEGAL,Forage,2007/08/15,Maastrichtien,307,-16.075,14.5536111111,307
486,DIOURBEL,DIOURBEL,Tocky Gare,WALLALANE,11-6X-0028,"-16°04'31""","14°33'13""",CARITAS,Forage,1984/05/10,Maastrichtien,292,-16.0752777778,14.5536111111,292
487,DIOURBEL,DIOURBEL,Toure Mbonde,KADE DIEYE,11-3X-0215,"-16°15'40""","14°44'46""",,Puits,,Quaternaire,37.66,-16.2611111111,14.7461111111,37.66
488,DIOURBEL,DIOURBEL,Toure Mbonde,KANE KANE,11-3X-0014,"-16°16'30""","14°42'48""",ETUDESOL,Piezometre,1974/07/12,Eocene,65,-16.275,14.7133333333,65
489,DIOURBEL,DIOURBEL,Toure Mbonde,LAYAM,11-3X-0353,"-16°17'26""","14°43'56""",,Puits moderne,,Eocene,39.42,-16.2905555556,14.7322222222,39.42
490,DIOURBEL,DIOURBEL,Toure Mbonde,PAL SECK,11-3X-0039,"-16°11'20""","14°46'40""",HICS,Forage,2010/01/28,Maastrichtien,315,-16.1888888889,14.7777777778,315
491,DIOURBEL,DIOURBEL,Toure Mbonde,PARBA,11-3X-0325,"-16°16'43""","14°44'42""",,Puits moderne,,Eocene,36.65,-16.2786111111,14.745,36.65
492,DIOURBEL,DIOURBEL,Toure Mbonde,SAMBE,11-3X-0174,"-16°11'30""","14°42'35""",HENAN CHINE,Forage,2004/01/20,Eocene,80,-16.1916666667,14.7097222222,80
493,DIOURBEL,DIOURBEL,Toure Mbonde,TOURE MBONDE,11-3X-0025,"-16°13'20""","14°43'37""",SOBEA,Forage,1985/12/01,Maastrichtien,251,-16.2222222222,14.7269444444,251
494,DIOURBEL,MBACKE,Dalla Ngabou,BAITY NDIAYENE,11-3X-0022,"-16°01'30""","14°48'10""",INTRAFOR,Sondage,1983/05/05,,81.9,-16.025,14.8027777778,81.9
495,DIOURBEL,MBACKE,Dalla Ngabou,DALLA,11-3X-0149,"-16°00'31""","14°45'59""",,Puits,,Quaternaire,37.22,-16.0086111111,14.7663888889,37.22
496,DIOURBEL,MBACKE,Dalla Ngabou,DALLA,11-3X-0150,"-16°00'40""","14°46'02""",,Puits,,Eocene,44,-16.0111111111,14.7672222222,44
497,DIOURBEL,MBACKE,Dalla Ngabou,DALLA I,11-3X-0446,"-16°00'36""","14°46'06""",SVTP GC/SEHI SENEGAL,Forage,2007/09/23,Maastrichtien,283,-16.01,14.7683333333,283
498,DIOURBEL,MBACKE,Dalla Ngabou,DALLA PEULH I,11-3X-0030,"-16°00'37""","14°46'05""",SOBEA,Forage,1985/09/19,Eocene,104.7,-16.0102777778,14.7680555556,104.7
499,DIOURBEL,MBACKE,Dalla Ngabou,DAROU KHOUDOSS,11-3X-0147,"-16°01'32""","14°46'02""",,Puits,,Quaternaire,39.8,-16.0255555556,14.7672222222,39.8
500,DIOURBEL,MBACKE,Dalla Ngabou,DIGANE,12-1X-0193,"-15°59'01""","14°47'34""",,Puits,,Quaternaire,33.4,-15.9836111111,14.7927777778,33.4
501,DIOURBEL,MBACKE,Dalla Ngabou,DIGANE,12-1X-0194,"-15°59'03""","14°47'34""",,Puits,,Eocene,50,-15.9841666667,14.7927777778,50
502,DIOURBEL,MBACKE,Dalla Ngabou,DOUYE SANGOU,12-1X-0186,"-15°58'42""","14°45'13""",,Puits,,Quaternaire,16.4,-15.9783333333,14.7536111111,16.4
503,DIOURBEL,MBACKE,Dalla Ngabou,KHOUROU MBACKE,11-3X-0024,"-16°00'45""","14°45'21""",PRAKLA,Forage-puits,1984/12/13,Maastrichtien,352,-16.0125,14.7558333333,352
504,DIOURBEL,MBACKE,Dalla Ngabou,LAH,12-1X-0017,"-15°59'28""","14°45'45""",SONAFOR,Forage,1976/01/27,Maastrichtien,288,-15.9911111111,14.7625,288
505,DIOURBEL,MBACKE,Dalla Ngabou,MISSIRAH ALBADE,17-1X-0050,"-15°59'35""","14°46'10""",HENAN CHINE,Forage,2005/12/31,Continental terminal,67,-15.9930555556,14.7694444444,67
506,DIOURBEL,MBACKE,Dalla Ngabou,NDIGANE,12-1X-0055,"-15°58'40""","14°47'30""",CDE,Puits moderne,,Eocene,50.9,-15.9777777778,14.7916666667,50.9
507,DIOURBEL,MBACKE,Dalla Ngabou,NDOUBOU SANKHAYE,12-1X-0190,"-15°58'38""","14°46'45""",,Puits,,Quaternaire,20,-15.9772222222,14.7791666667,20
508,DIOURBEL,MBACKE,Dalla Ngabou,NGABOU MOURIDE,12-1X-0222,"-15°58'45""","14°46'55""",SASIF,Forage,2006/08/24,Maastrichtien,300,-15.9791666667,14.7819444444,300
509,DIOURBEL,MBACKE,Dalla Ngabou,NJABOU 3,12-1X-0192,"-15°58'29""","14°46'53""",,Puits,,Quaternaire,28.14,-15.9747222222,14.7813888889,28.14
510,DIOURBEL,MBACKE,Dalla Ngabou,TAWA FALL,11-3X-0143,"-16°04'14""","14°45'03""",,Pointe filtrante,,Pointe filtrante,37.97,-16.0705555556,14.7508333333,37.97
511,DIOURBEL,MBACKE,Dalla Ngabou,THIENTHIE I,11-3X-0100,"-16°03'04""","14°47'34""",,Puits,,Quaternaire,31.5,-16.0511111111,14.7927777778,31.5
512,DIOURBEL,MBACKE,Dalla Ngabou,THIENTHIE II,11-3X-0020,"-16°02'55""","14°47'20""",INTRAFOR,Forage,1983/04/26,Eocene,81.9,-16.0486111111,14.7888888889,81.9
513,DIOURBEL,MBACKE,Dalla Ngabou,THIOMBE,11-3X-0033,"-16°03'45""","14°45'50""",SONAFOR,Forage,1984/12/04,Eocene,73.5,-16.0625,14.7638888889,73.5
514,DIOURBEL,MBACKE,Dalla Ngabou,TOUBA NGABOU,12-1X-0204,"-15°58'46""","14°46'56""",SASIF,Forage,2005/08/25,Maastrichtien,300,-15.9794444444,14.7822222222,300
515,DIOURBEL,MBACKE,Dandeye,DENDEYE OUOLOF,11-3X-0028,"-16°01'54""","14°43'33""",SOBEA,Forage,1986/05/06,Maastrichtien,315,-16.0316666667,14.7258333333,315
516,DIOURBEL,MBACKE,Dandeye,NDIAWALDI,11-3X-0072,"-16°04'24""","14°44'08""",,Puits,,Quaternaire,33.58,-16.0733333333,14.7355555556,33.58
517,DIOURBEL,MBACKE,Dandeye,NGUERANE,11-3X-0023,"-16°02'29""","14°40'48""",INTRAFOR,Forage,1984/11/07,Maastrichtien,299.7,-16.0413888889,14.68,299.7
518,DIOURBEL,MBACKE,Darou Nahim,DAROU NAIM THIENGOU,12-1X-0052,"-15°59'50""","14°44'05""",SASIF,Forage,1996/03/29,Maastrichtien,287,-15.9972222222,14.7347222222,287
519,DIOURBEL,MBACKE,Darou Nahim,THIALLE,12-1X-0031,"-15°59'29""","14°41'44""",SASIF,Forage-puits,1984/02/22,Maastrichtien,340,-15.9913888889,14.6955555556,340
520,DIOURBEL,MBACKE,Darou Salam Typ,DAROU SALAM TYP,12-1X-0013,"-15°51'30""","14°40'20""",SASIF,Puits-forage,1959/08/08,Paleocene,174.8,-15.8583333333,14.6722222222,174.8
521,DIOURBEL,MBACKE,Darou Salam Typ,DAROU SALAM TYP,12-1X-0050,"-15°51'50""","14°40'10""",TECNOSOL,Forage,1993/01/01,Maastrichtien,300.85,-15.8638888889,14.6694444444,300.85
522,DIOURBEL,MBACKE,Darou Salam Typ,DAROU SALAM TYP,12-4X-0005,"-15°52'15""","14°39'15""",SASIF,Puits-forage,1959/09/27,Paleocene,171.3,-15.8708333333,14.6541666667,171.3
523,DIOURBEL,MBACKE,Darou Salam Typ,TIP FERME,12-4X-0014,"-15°48'55""","14°39'00""",HYDRAF,Forage,1964/07/06,Maastrichtien,295,-15.8152777778,14.65,295
524,DIOURBEL,MBACKE,Darou Salam Typ,TIP SOUCOUDOU,12-4X-0013,"-15°48'55""","14°39'00""",HYDRAF,Forage,1963/12/11,Maastrichtien,298.74,-15.8152777778,14.65,298.74
525,DIOURBEL,MBACKE,Darou Salam Typ,TYP,12-1X-0183,"-15°51'16""","14°40'12""",,Puits,,Quaternaire,39.53,-15.8544444444,14.67,39.53
526,DIOURBEL,MBACKE,Kael,DAROU MBAYENE,12-1X-0032,"-15°56'30""","14°40'48""",SASIF,Forage-puits,1984/03/13,Maastrichtien,320,-15.9416666667,14.68,320
527,DIOURBEL,MBACKE,Kael,KAEL,12-1X-0021,"-15°54'29""","14°42'59""",SONAFOR,Forage,1977/07/02,Maastrichtien,305,-15.9080555556,14.7163888889,305
528,DIOURBEL,MBACKE,Kael,LAMA,12-4X-0015,"-15°54'35""","14°37'40""",SONAFOR,Forage,1975/11/26,Maastrichtien,298,-15.9097222222,14.6277777778,298
529,DIOURBEL,MBACKE,Kael,TOUBA KAEL,12-1X-0133,"-15°54'04""","14°42'27""",,Puits,,Quaternaire,15.54,-15.9011111111,14.7075,15.54
530,DIOURBEL,MBACKE,Madina,BOBY,12-1X-0030,"-15°48'59""","14°44'55""",SASIF,Forage-puits,1984/03/28,Maastrichtien,280.5,-15.8163888889,14.7486111111,280.5
531,DIOURBEL,MBACKE,Madina,DAROU NAIM THIENGOU,12-1X-0033,"-15°49'30""","14°45'48""",INTRAFOR,Forage,1983/05/09,Eocene,63.9,-15.825,14.7633333333,63.9
532,DIOURBEL,MBACKE,Madina,KEUR SERIGNE MBACKE MADINA,12-1X-0047,"-15°49'33""","14°43'28""",INTRAFOR,Forage,1981/09/07,Maastrichtien,332,-15.8258333333,14.7244444444,332
533,DIOURBEL,MBACKE,Madina,NDIOUROUL DARAH,12-1X-0057,"-15°45'44""","14°46'41""",SASIF,Forage-puits,1997/10/15,Maastrichtien,269,-15.7622222222,14.7780555556,269
534,DIOURBEL,MBACKE,Missira,DAROU RAHMANE FALL I,11-3X-0005,"-16°01'55""","14°55'40""",SASIF,Puits-forage,1960/11/24,Paleocene,219,-16.0319444444,14.9277777778,219
535,DIOURBEL,MBACKE,Missira,DAROU RAHMANE II,12-1X-0022,"-15°56'42""","14°54'01""",SONAFOR,Forage-puits,1977/06/24,Maastrichtien,312,-15.945,14.9002777778,312
536,DIOURBEL,MBACKE,Missira,DAROU RAHMANE II,12-1X-0043,"-15°56'46""","14°53'58""",BALFOURS,Forage,1986/08/27,Maastrichtien,320,-15.9461111111,14.8994444444,320
537,DIOURBEL,MBACKE,Missira,DAROURAHMANE II,12-1X-0085,"-15°57'07""","14°53'54""",,Puits,,Eocene,53.67,-15.9519444444,14.8983333333,53.67
538,DIOURBEL,MBACKE,Missira,KHEWAR MISSIRAH,11-3X-0034,"-16°01'07""","14°55'53""",SONAFOR,Forage,1987/07/16,Maastrichtien,310,-16.0186111111,14.9313888889,310
539,DIOURBEL,MBACKE,Missira,KOBA,11-3X-0019,"-16°04'45""","14°56'15""",SASIF,Forage-puits,1984/06/09,Maastrichtien,302,-16.0791666667,14.9375,302
540,DIOURBEL,MBACKE,Missira,LOUGOUL,11-3X-0006,"-16°04'00""","14°57'00""",SONAFOR,Forage,1976/10/13,Maastrichtien,318.5,-16.0666666667,14.95,318.5
541,DIOURBEL,MBACKE,Missira,LOUGOUL,11-3X-0048,"-16°04'17""","14°57'00""",,Puits,,Eocene,44.77,-16.0713888889,14.95,44.77
542,DIOURBEL,MBACKE,Missira,MBAYENE MISSIRAH,12-1X-0046,"-15°57'31""","14°58'14""",,Forage,1988/07/07,Maastrichtien,257.71,-15.9586111111,14.9705555556,257.71
543,DIOURBEL,MBACKE,Missira,MISSIRAH,12-1X-0012,"-15°56'46""","14°53'58""",SASIF,Forage,1959/11/05,Paleocene,177.5,-15.9461111111,14.8994444444,177.5
